Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
GPT-6 Astra,GPT-6 Astra,166.6,163.0,172.03,2026-09-03,OpenAI,United States of America,API access,Closed weights,
Claude Fable 5.1,Claude Fable 5.1,165.0,161.64,169.61,2026-09-01,Anthropic,United States of America,API access,Closed weights,
Claude Fable 5,Claude Fable 5,163.6,160.56,167.57,2026-06-09,Anthropic,United States of America,API access,Closed weights,
Claude Opus 5,Claude Opus 5,162.67,159.96,166.52,2026-07-24,Anthropic,United States of America,API access,Closed weights,
GPT-5.5 Pro,GPT-5.5 Pro,162.45,159.23,166.64,2026-04-23,OpenAI,United States of America,API access,Closed weights,
GPT-5.6 Sol,GPT-5.6 Sol,161.99,159.64,165.92,2026-07-09,OpenAI,United States of America,API access,Closed weights,
GPT-5.6 Terra,GPT-5.6 Terra,159.31,156.74,162.32,2026-07-09,OpenAI,United States of America,API access,Closed weights,
GPT-5.5,GPT-5.5,159.25,156.96,162.39,2026-04-23,OpenAI,United States of America,API access,Closed weights,
GPT-5.4 Pro,GPT-5.4 Pro,159.12,156.65,162.44,2026-03-05,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.8,Claude Opus 4.8,158.3,156.27,161.02,2026-05-28,Anthropic,United States of America,API access,Closed weights,
Gemini 3.7 Flash,Gemini 3.7 Flash,157.72,155.64,160.59,2026-08-13,Google DeepMind,United States of America,API access,Closed weights,
Kimi K3,Kimi K3,157.68,155.12,160.65,2026-07-16,Moonshot,China,Open weights (non-commercial),Open weights,
Gemini 3.8 Flash,Gemini 3.8 Flash,157.13,154.95,161.31,2026-09-02,Google DeepMind,United States of America,API access,Closed weights,
GPT-5.4,GPT-5.4,156.92,155.07,159.26,2026-03-05,OpenAI,United States of America,API access,Closed weights,
Muse Spark 1.3,Muse Spark 1.3,156.89,154.66,159.44,2026-09-02,Meta AI,United States of America,API access,Closed weights,
